customer_id,first_name,last_name,email,phone,street_address,city,state_code,zip_code,date_of_birth,loyalty_tier,lifetime_order_count,lifetime_spend,preferred_channel,created_at,updated_at,source_system
131, Jessica ,Johnson,  JESSICA.JOHNSON851@PROTONMAIL.COM  ,427-333-4246,2111 Elm St,San Diego,CA,91003,1958-10-31,gold,12,1012.09,online,2023-12-03 06:16:22,2024-08-09 07:57:18,pos_instore
132,Pamela,Morris,  PAMELA.MORRIS509@GMAIL.COM  ,591-899-7990,6751 High St,Greensboro,NC,27130,1962-11-14,bronze,3,186.34,in_store,2022-05-19 05:36:34,2025-04-24 11:55:20,pos_instore
133,Rebecca,Sanchez,rebecca.sanchez256@icloud.com,756-219-7266,4603 Oak Ave,Chattanooga,TN,38094,1987-01-25,gold,15,1233.19,mobile,2021-12-24 04:00:07,2024-11-01 23:37:19,ecommerce
134,Ashley,Walker,ashley.walker547@protonmail.com,954-257-4594,9693 Main St,Allentown,PA,19651,1967-10-01,silver,10,1194.33,in_store,2021-08-07 19:43:09,2025-07-18 07:46:16,customer_service
135,Michelle,Thompson,michelle.thompson39@gmail.com,257-438-4584,976 Main St,Tacoma,WA,99202,1967-09-16,bronze,4,275.78,in_store,2020-12-10 14:50:18,2025-08-13 18:50:51,mobile_app
136,Elizabeth,Mitchell,elizabeth.mitchell601@gmail.com,544-509-6285,5847 Washington Blvd,Winston-Salem,NC,28674,1970-09-24,bronze,5,558.78,mobile,2023-03-21 14:21:51,2025-02-24 07:35:58,mobile_app
137,Thomas,Thompson,thomas.thompson972@icloud.com,786-600-1530,2751 Valley Rd,Los Angeles,CA,95807,1985-02-13,bronze,4,344.77,catalog,2023-10-19 15:08:30,2024-07-09 20:25:47,mobile_app
138,Anthony,Young,anthony.young359@outlook.com,310-937-1020,9471 Valley Rd,San Francisco,CA,91332,1995-06-27,bronze,7,863.53,catalog,2020-08-17 00:10:13,2024-07-26 22:51:34,mobile_app
139,Robert,Green,robert.green975@gmail.com,275-550-3787,7067 Valley Rd,Buffalo,NY,14976,1993-12-14,gold,8,694.86,online,2021-05-03 02:30:25,2024-08-11 14:21:05,ecommerce
140,Kevin,Clark,kevin.clark420@icloud.com,767-939-9849,9834 Market St,Orlando,FL,32400,1957-04-23,bronze,5,259.43,catalog,2021-10-04 23:31:58,2024-11-10 16:32:34,mobile_app
141,William,Peterson,william.peterson316@protonmail.com,607-682-9013,7620 Park Ave,Dallas,TX,75501,1960-07-12,gold,12,1081.83,mobile,2021-04-14 13:07:11,2025-12-23 23:09:34,ecommerce
142,William,Hall,william.hall424@protonmail.com,803-432-1999,569 Church St,Carmel,IN,47845,2001-05-14,gold,23,2720.9,catalog,2021-04-03 02:29:39,2024-10-02 10:12:59,loyalty_program
143,Daniel,Perez,daniel.perez828@yahoo.com,329-243-7936,9116 River Rd,Fort Lauderdale,FL,33338,1979-10-12,bronze,5,622.75,mobile,2024-06-02 14:45:33,2025-06-21 20:40:07,ecommerce
144,Rachel,Bennett,rachel.bennett801@hotmail.com,315-624-3451,4328 River Rd,Cambridge,MA,02172,1997-06-09,bronze,5,587.48,online,2020-04-26 09:38:34,2024-11-11 18:02:08,mobile_app
145,Stephanie,Jackson,stephanie.jackson40@hotmail.com,539-907-4892,3735 Maple Dr,Durham,NC,28529,1994-10-02,bronze,6,648.9,mobile,2022-09-23 21:40:32,2025-01-26 06:21:08,loyalty_program
146,Nicole,Lopez,nicole.lopez453@yahoo.com,616-958-8937,9318 Main St,Orlando,FL,32792,1973-01-03,gold,12,936.7,mobile,2020-06-28 01:01:08,2025-01-10 18:50:08,ecommerce
147,Ryan,Miller,ryan.miller722@yahoo.com,480-577-8605,2680 Park Ave,Atlanta,GA,30585,1957-06-18,silver,2,125.34,catalog,2023-04-16 00:25:32,2024-08-08 13:33:45,pos_instore
148,Pamela,Ramirez,pamela.ramirez663@yahoo.com,893-411-5408,3667 Park Ave,Syracuse,NY,12503,1979-09-15,silver,10,1132.64,online,2023-08-09 17:19:30,2025-04-19 10:00:39,mobile_app
149,Ryan,Allen,ryan.allen478@outlook.com,893-733-7506,5328 Park Ave,Tampa,FL,34690,1981-10-21,silver,4,352.46,mobile,2021-08-08 05:08:45,2024-10-25 10:53:04,customer_service
150,Donald,Davis,donald.davis414@icloud.com,527-897-3292,5623 Highland Dr,Colorado Springs,CO,81406,2002-12-18,gold,18,1036.22,catalog,2024-01-18 01:23:15,2025-12-04 20:32:10,mobile_app
